frame,ID,x,y
0,0,277,467
0,1,392,427
0,2,87,426
0,3,304,390
0,4,591,380
0,5,105,381
0,6,438,371
0,7,39,362
0,8,503,345
0,9,599,295
0,10,263,298
0,11,89,297
0,12,200,261
0,13,408,245
0,14,60,240
0,15,473,214
0,16,238,215
0,17,354,208
0,18,328,204
0,19,400,196
0,20,203,180
0,21,409,163
0,22,259,163
0,23,218,152
0,24,337,141
0,25,195,125
0,26,303,119
0,27,270,114
0,28,404,116
0,29,394,99
0,30,450,86
0,31,350,86
0,32,383,75
0,33,323,65
0,34,280,39
0,35,381,24
0,36,530,12
0,37,363,8
0,38,308,9
0,273,466,1
1,399,433,1
2,90,428,1
3,306,392,1
4,102,386,1
5,591,380,1
6,438,370,1
7,39,363,1
8,90,358,1
9,503,345,1
10,430,338,1
11,268,305,1
12,599,296,1
13,91,302,1
14,198,257,1
15,409,243,1
16,56,235,1
17,473,214,1
18,314,213,1
19,238,210,1
20,396,204,1
21,350,201,1
22,204,178,1
23,405,161,1
24,256,159,1
25,223,142,1
26,335,132,1
27,196,126,1
28,302,120,1
29,404,114,1
30,270,114,1
31,350,85,1
32,385,78,1
33,325,64,1
34,357,55,1
35,288,39,1
36,381,23,1
37,530,12,1
38,364,6,1
0,271,466,2
1,407,438,2
2,91,428,2
3,99,390,2
4,303,389,2
5,591,380,2
6,438,371,2
7,39,362,2
8,90,357,2
9,423,336,2
10,270,313,2
11,95,308,2
12,599,296,2
13,194,253,2
14,410,243,2
15,305,219,2
16,473,214,2
17,394,210,2
18,238,205,2
19,346,194,2
20,203,178,2
21,404,159,2
22,254,158,2
23,230,130,2
24,195,127,2
25,300,122,2
26,333,124,2
27,272,116,2
28,405,112,2
29,410,102,2
30,395,96,2
31,349,85,2
32,385,82,2
33,346,62,2
34,296,40,2
35,382,22,2
36,530,12,2
37,362,7,2
0,267,465,3
1,416,444,3
2,92,428,3
3,299,385,3
4,591,380,3
5,438,371,3
6,39,363,3
7,503,345,3
8,414,334,3
9,274,323,3
10,98,314,3
11,599,296,3
12,190,248,3
13,410,243,3
14,49,226,3
15,294,226,3
16,472,214,3
17,394,214,3
18,406,192,3
19,240,197,3
20,341,186,3
21,203,177,3
22,404,156,3
23,251,155,3
24,195,129,3
25,299,123,3
26,273,116,3
27,404,112,3
28,331,117,3
29,234,119,3
30,421,102,3
31,394,97,3
32,449,86,3
33,349,85,3
34,384,85,3
35,338,58,3
36,366,55,3
37,304,42,3
38,382,22,3
39,530,12,3
40,358,8,3
0,262,465,4
1,424,448,4
2,590,380,4
3,292,381,4
4,438,371,4
5,40,362,4
6,503,345,4
7,279,332,4
8,102,319,4
