frame,ID,x,y
0,0,326,400
0,1,239,391
0,2,628,345
0,3,427,332
0,4,335,326
0,5,423,319
0,6,257,238
0,7,298,98
0,8,274,30
0,326,400,1
1,240,391,1
2,628,345,1
3,427,332,1
4,337,323,1
5,422,320,1
6,259,237,1
7,299,100,1
8,274,30,1
0,326,400,2
1,239,391,2
2,628,344,2
3,425,333,2
4,421,321,2
5,340,318,2
6,261,235,2
7,299,102,2
0,326,400,3
1,240,390,3
2,627,344,3
3,421,335,3
4,419,323,3
5,344,313,3
6,262,232,3
7,300,104,3
8,471,85,3
0,326,401,4
1,628,345,4
2,415,337,4
3,415,325,4
4,346,308,4
5,265,231,4
6,300,108,4
0,326,401,5
1,239,391,5
2,627,345,5
3,413,337,5
4,414,326,5
5,349,300,5
6,266,229,5
7,300,109,5
8,471,85,5
0,326,400,6
1,240,390,6
2,628,345,6
3,413,338,6
4,413,328,6
5,350,294,6
6,270,228,6
7,301,113,6
8,271,29,6
0,326,400,7
1,240,391,7
2,628,345,7
3,411,339,7
4,409,330,7
5,352,287,7
6,278,224,7
7,301,115,7
8,470,85,7
9,270,30,7
0,326,400,8
1,239,391,8
2,628,344,8
3,412,338,8
4,407,330,8
5,353,280,8
6,278,223,8
7,302,116,8
8,270,30,8
0,326,400,9
1,240,390,9
2,628,344,9
3,412,340,9
4,404,331,9
5,353,274,9
6,285,220,9
7,302,116,9
8,471,86,9
9,269,31,9
0,326,400,10
1,240,390,10
2,628,345,10
3,411,341,10
4,400,332,10
5,352,270,10
6,290,218,10
7,302,117,10
8,471,85,10
9,270,32,10
0,616,474,11
1,326,401,11
2,240,391,11
3,628,344,11
4,407,345,11
5,399,333,11
6,352,268,11
7,292,216,11
8,303,119,11
9,471,85,11
10,270,32,11
0,326,401,12
1,240,391,12
2,628,344,12
3,407,348,12
4,396,333,12
5,352,267,12
6,240,218,12
7,295,215,12
8,303,120,12
9,270,32,12
0,326,400,13
1,240,390,13
2,627,344,13
3,405,350,13
4,395,333,13
5,351,265,13
6,240,218,13
7,297,213,13
8,303,120,13
9,268,32,13
0,240,391,14
1,627,345,14
2,405,352,14
3,392,333,14
