frame,ID,x,y
0,0,354,461
0,1,406,445
0,2,379,409
0,3,315,381
0,4,257,367
0,5,203,362
0,6,69,359
0,7,24,359
0,8,340,354
0,9,252,348
0,10,458,341
0,11,503,336
0,12,345,321
0,13,535,300
0,14,250,299
0,15,12,289
0,16,460,292
0,17,197,234
0,18,293,214
0,19,342,215
0,20,511,202
0,21,11,200
0,22,295,192
0,23,305,177
0,24,69,171
0,25,253,137
0,26,535,129
0,27,444,117
0,28,470,117
0,29,336,105
0,30,113,101
0,31,78,100
0,32,208,87
0,33,494,83
0,34,457,80
0,35,228,72
0,36,161,58
0,465,472,1
1,350,464,1
2,407,448,1
3,492,431,1
4,378,419,1
5,258,367,1
6,211,363,1
7,345,359,1
8,71,352,1
9,23,350,1
10,460,340,1
11,502,335,1
12,341,318,1
13,96,316,1
14,17,288,1
15,242,292,1
16,532,299,1
17,466,280,1
18,196,236,1
19,289,219,1
20,343,215,1
21,8,203,1
22,518,199,1
23,299,196,1
24,299,179,1
25,71,170,1
26,254,135,1
27,390,126,1
28,469,125,1
29,436,116,1
30,536,122,1
31,350,105,1
32,113,110,1
33,85,98,1
34,562,96,1
35,491,85,1
36,212,82,1
37,154,60,1
38,225,59,1
0,463,475,2
1,346,467,2
2,408,450,2
3,490,438,2
4,377,428,2
5,494,413,2
6,261,366,2
7,217,364,2
8,544,367,2
9,351,364,2
10,282,346,2
11,75,344,2
12,465,336,2
13,22,341,2
14,500,332,2
15,336,317,2
16,531,312,2
17,96,314,2
18,22,288,2
19,528,288,2
20,234,284,2
21,471,270,2
22,195,240,2
23,287,223,2
24,343,215,2
25,306,203,2
26,526,197,2
27,293,183,2
28,74,170,2
29,547,144,2
30,254,131,2
31,397,124,2
32,467,131,2
33,428,114,2
34,111,119,2
35,364,105,2
36,537,112,2
37,84,96,2
38,489,87,2
39,148,62,2
40,222,47,2
0,409,452,3
1,376,432,3
2,413,417,3
3,490,414,3
4,265,365,3
5,225,365,3
6,357,369,3
7,545,366,3
8,291,344,3
9,79,339,3
10,466,334,3
11,20,332,3
12,499,330,3
13,328,314,3
14,528,315,3
15,99,308,3
16,27,286,3
17,528,281,3
18,227,276,3
19,474,262,3
20,194,242,3
21,284,227,3
22,342,215,3
23,311,206,3
24,533,195,3
25,288,186,3
26,76,170,3
27,550,148,3
28,466,135,3
29,400,123,3
30,110,129,3
31,420,114,3
32,381,103,3
33,537,103,3
34,106,93,3
35,485,88,3
36,89,89,3
37,142,64,3
38,219,33,3
0,411,455,4
1,376,430,4
2,486,418,4
3,413,416,4
4,363,375,4
5,232,367,4
6,268,364,4
7,544,365,4
8,301,343,4
9,471,330,4
10,498,327,4
11,17,323,4
12,525,319,4
13,323,312,4
14,102,303,4
15,29,285,4
16,528,274,4
17,217,264,4
18,479,252,4
19,193,245,4
20,282,231,4
21,343,215,4
22,316,211,4
23,541,194,4
24,283,189,4
25,78,170,4
26,556,159,4
27,464,139,4
28,108,139,4
29,565,105,4
30,113,93,4
31,481,89,4
32,536,96,4
33,93,84,4
34,136,67,4
35,216,25,4
0,412,460,5
1,492,426,5
2,377,426,5
3,482,419,5
4,369,380,5
5,545,364,5
6,310,340,5
7,472,328,5
8,522,322,5
9,498,324,5
10,316,311,5
11,12,316,5
12,105,296,5
13,35,282,5
14,527,268,5
15,212,257,5
16,192,248,5
17,486,240,5
18,280,234,5
19,343,215,5
20,322,213,5
21,548,194,5
22,277,192,5
23,81,171,5
24,559,165,5
25,107,149,5
26,461,144,5
27,255,126,5
28,564,102,5
29,121,92,5
30,478,90,5
31,535,86,5
32,96,80,5
33,131,68,5
34,150,38,5
35,213,14,5
0,414,463,6
1,480,421,6
2,375,383,6
3,246,371,6
4,544,366,6
5,320,335,6
6,519,328,6
7,478,325,6
8,497,322,6
9,307,311,6
10,8,311,6
11,107,295,6
12,37,281,6
13,526,261,6
14,190,251,6
15,204,244,6
16,278,240,6
17,492,231,6
18,343,215,6
19,324,214,6
20,554,194,6
21,273,195,6
22,84,172,6
23,104,161,6
24,459,148,6
25,419,124,6
26,256,123,6
27,392,108,6
28,128,91,6
29,475,90,6
30,126,71,6
31,99,74,6
32,534,76,6
